input,target
She got cough bad.,He has severe cough.
Me got can’t walk good.,That person has difficulty walking.
My cryin’ lot.,The children have crying a lot.
My blood nose.,The elderly man has nosebleed.
This one got sore throat.,She has sore throat.
Them kids got hungry all time.,The child has increased appetite.
Them kids got drink water plenty.,The child has excessive thirst.
Old fella got belly pain.,I have abdominal pain.
Me got eyes blurry.,The child has blurred vision.
That one got vomit come up.,That person has vomiting.
Old fella got back sore.,The children have back pain.
Lil one got cough bad.,The elderly man has severe cough.
He got can’t walk good.,I have difficulty walking.
He got cryin’ lot.,My crying a lot.
He got chest tight.,That person has chest tightness.
Me got skin itchy.,This person has itchy skin.
That one got skin rash.,The elderly man has skin rash.
He got drink water plenty.,The children have excessive thirst.
This one got can’t see straight.,My blurred vision.
Lil one got hot all night.,That person has fever.
He got eyes blurry.,He has blurred vision.
Lil one got vomit come up.,The children have vomiting.
Me got talkin’ funny.,I have slurred speech.
This one got shiverin’.,The child has shivering.
Lil one got vomit come up.,This person has vomiting.
Lil one got blood nose.,The children have nosebleed.
Old fella got hungry all time.,She has increased appetite.
He got can’t walk good.,She has difficulty walking.
Them kids got throwin’ up.,My vomiting.
She got drink water plenty.,The elderly man has excessive thirst.
Me got body weak.,He has body weakness.
This one got ear sore.,I have earache.
Lil one got ear sore.,I have earache.
That one got body weak.,I have been experiencing body weakness.
Me got can’t walk good.,I have difficulty walking.
Them kids got throwin’ up.,That person has vomiting.
I bin blood nose.,He has nosebleed.
This one got ear sore.,The child has earache.
That one got cryin’ lot.,I have been experiencing crying a lot.
He got skin rash.,I have been experiencing skin rash.
Me got skin rash.,My skin rash.
Old fella got skin itchy.,The elderly man has itchy skin.
My eyes blurry.,The child has blurred vision.
Old fella got can’t breathe good.,That person has shortness of breath.
Them kids got vomit come up.,I have vomiting.
My talkin’ funny.,The children have slurred speech.
My blood nose.,My nosebleed.
Me got hungry all time.,The elderly man has increased appetite.
Lil one got shiverin’.,She has shivering.
That one got back sore.,She has back pain.
This one got cough bad.,The child has severe cough.
This one got cough bad.,The children have severe cough.
Lil one got vomit come up.,My vomiting.
I bin cryin’ lot.,I have been experiencing crying a lot.
She got ear sore.,This person has earache.
My head hurtin’.,The child has headache.
She got head hurtin’.,This person has headache.
My heart go fast.,He has rapid heartbeat.
This one got hungry all time.,She has increased appetite.
That one got back sore.,The children have back pain.
Old fella got throwin’ up.,The children have vomiting.
I bin heart go fast.,The children have rapid heartbeat.
That one got back sore.,I have been experiencing back pain.
He got hot all night.,She has fever.
This one got cough bad.,The children have severe cough.
She got cryin’ lot.,He has crying a lot.
Me got can’t see straight.,The child has blurred vision.
Me got can’t breathe good.,I have been experiencing shortness of breath.
She got ear sore.,The children have earache.
Me got can’t breathe good.,This person has shortness of breath.
This one got can’t breathe good.,The child has shortness of breath.
That one got chest tight.,I have chest tightness.
This one got cryin’ lot.,I have been experiencing crying a lot.
Lil one got back sore.,My back pain.
He got eyes blurry.,The child has blurred vision.
He got throwin’ up.,This person has vomiting.
This one got blood nose.,I have nosebleed.
Me got can’t see straight.,That person has blurred vision.
She got skin rash.,That person has skin rash.
This one got sore throat.,He has sore throat.
He got drink water plenty.,This person has excessive thirst.
Lil one got hungry all time.,The elderly man has increased appetite.
Me got eyes blurry.,She has blurred vision.
Old fella got sore throat.,My sore throat.
That one got skin rash.,I have been experiencing skin rash.
This one got throwin’ up.,He has vomiting.
Them kids got chest tight.,The child has chest tightness.
Me got head hurtin’.,That person has headache.
Old fella got shiverin’.,He has shivering.
I bin body weak.,The child has body weakness.
She got blood nose.,I have been experiencing nosebleed.
This one got drink water plenty.,I have been experiencing excessive thirst.
Old fella got heart go fast.,I have been experiencing rapid heartbeat.
This one got can’t see straight.,My blurred vision.
Lil one got throwin’ up.,She has vomiting.
Lil one got sore throat.,I have been experiencing sore throat.
Lil one got can’t breathe good.,This person has shortness of breath.
Me got leg swell up.,I have been experiencing swollen leg.
This one got ear sore.,This person has earache.
That one got head hurtin’.,The elderly man has headache.
He got cryin’ lot.,This person has crying a lot.
Lil one got hot all night.,That person has fever.
I bin blood nose.,I have been experiencing nosebleed.
She got eyes blurry.,The child has blurred vision.
I bin can’t breathe good.,She has shortness of breath.
She got eyes blurry.,The child has blurred vision.
That one got skin rash.,The elderly man has skin rash.
This one got shiverin’.,The child has shivering.
Old fella got can’t breathe good.,My shortness of breath.
That one got hungry all time.,The child has increased appetite.
That one got belly pain.,She has abdominal pain.
This one got blood nose.,She has nosebleed.
She got hungry all time.,The elderly man has increased appetite.
I bin cough bad.,This person has severe cough.
Old fella got head hurtin’.,The elderly man has headache.
My talkin’ funny.,She has slurred speech.
My can’t breathe good.,My shortness of breath.
Them kids got chest tight.,He has chest tightness.
This one got can’t see straight.,That person has blurred vision.
Me got heart go fast.,That person has rapid heartbeat.
That one got body weak.,That person has body weakness.
That one got chest tight.,The child has chest tightness.
Old fella got cough bad.,I have severe cough.
Old fella got can’t see straight.,The child has blurred vision.
She got shiverin’.,He has shivering.
That one got skin rash.,I have been experiencing skin rash.
Me got head hurtin’.,That person has headache.
Me got skin itchy.,I have been experiencing itchy skin.
My can’t walk good.,This person has difficulty walking.
This one got shiverin’.,I have shivering.
Me got belly pain.,I have been experiencing abdominal pain.
She got drink water plenty.,The child has excessive thirst.
This one got blood nose.,The elderly man has nosebleed.
I bin head hurtin’.,She has headache.
She got eyes blurry.,He has blurred vision.
Lil one got can’t walk good.,I have difficulty walking.
Lil one got can’t breathe good.,He has shortness of breath.
Them kids got back sore.,The children have back pain.
He got skin itchy.,The elderly man has itchy skin.
That one got back sore.,The child has back pain.
Me got drink water plenty.,The children have excessive thirst.
Them kids got cough bad.,My severe cough.
She got sore throat.,That person has sore throat.
Me got cryin’ lot.,My crying a lot.
My chest tight.,She has chest tightness.
My cryin’ lot.,I have been experiencing crying a lot.
Me got skin itchy.,This person has itchy skin.
Them kids got can’t see straight.,That person has blurred vision.
Me got head hurtin’.,She has headache.
She got throwin’ up.,I have been experiencing vomiting.
Old fella got talkin’ funny.,I have slurred speech.
Them kids got leg swell up.,The elderly man has swollen leg.
Lil one got skin itchy.,She has itchy skin.
My hot all night.,He has fever.
He got belly pain.,The children have abdominal pain.
Old fella got chest tight.,She has chest tightness.
He got chest tight.,The children have chest tightness.
She got heart go fast.,That person has rapid heartbeat.
I bin talkin’ funny.,My slurred speech.
Them kids got shiverin’.,She has shivering.
That one got shiverin’.,I have been experiencing shivering.
Me got head hurtin’.,I have been experiencing headache.
She got body weak.,I have been experiencing body weakness.
Me got skin rash.,I have skin rash.
Old fella got vomit come up.,She has vomiting.
He got head hurtin’.,This person has headache.
Lil one got cryin’ lot.,My crying a lot.
He got chest tight.,My chest tightness.
Me got cough bad.,That person has severe cough.
Me got can’t walk good.,This person has difficulty walking.
Lil one got can’t see straight.,That person has blurred vision.
She got ear sore.,The children have earache.
This one got leg swell up.,He has swollen leg.
Old fella got can’t walk good.,The elderly man has difficulty walking.
My blood nose.,The child has nosebleed.
I bin can’t walk good.,That person has difficulty walking.
I bin eyes blurry.,That person has blurred vision.
My head hurtin’.,That person has headache.
Old fella got body weak.,The child has body weakness.
He got can’t breathe good.,She has shortness of breath.
My heart go fast.,I have rapid heartbeat.
Lil one got sore throat.,This person has sore throat.
He got can’t walk good.,This person has difficulty walking.
She got cryin’ lot.,This person has crying a lot.
That one got cough bad.,He has severe cough.
That one got can’t see straight.,The elderly man has blurred vision.
Lil one got cough bad.,He has severe cough.
That one got can’t walk good.,The elderly man has difficulty walking.
Them kids got leg swell up.,This person has swollen leg.
My heart go fast.,He has rapid heartbeat.
This one got blood nose.,He has nosebleed.
I bin can’t breathe good.,That person has shortness of breath.
This one got ear sore.,I have been experiencing earache.
My skin rash.,I have skin rash.
Lil one got back sore.,My back pain.
Old fella got cryin’ lot.,The elderly man has crying a lot.
Them kids got eyes blurry.,She has blurred vision.
This one got drink water plenty.,She has excessive thirst.
My shiverin’.,That person has shivering.
He got talkin’ funny.,This person has slurred speech.
My belly pain.,The elderly man has abdominal pain.
This one got blood nose.,The child has nosebleed.
This one got talkin’ funny.,I have slurred speech.
I bin can’t breathe good.,The elderly man has shortness of breath.
I bin ear sore.,He has earache.
Old fella got can’t walk good.,She has difficulty walking.
Old fella got skin itchy.,She has itchy skin.
Them kids got drink water plenty.,I have been experiencing excessive thirst.
She got vomit come up.,He has vomiting.
This one got can’t walk good.,My difficulty walking.
Lil one got throwin’ up.,That person has vomiting.
That one got talkin’ funny.,She has slurred speech.
I bin cryin’ lot.,She has crying a lot.
My vomit come up.,The elderly man has vomiting.
This one got leg swell up.,The children have swollen leg.
Lil one got head hurtin’.,The child has headache.
I bin can’t breathe good.,I have shortness of breath.
That one got back sore.,She has back pain.
Old fella got can’t walk good.,My difficulty walking.
That one got throwin’ up.,The elderly man has vomiting.
Lil one got hungry all time.,I have been experiencing increased appetite.
Them kids got belly pain.,I have been experiencing abdominal pain.
Them kids got leg swell up.,I have been experiencing swollen leg.
My can’t breathe good.,The elderly man has shortness of breath.
That one got head hurtin’.,The children have headache.
My vomit come up.,The elderly man has vomiting.
He got cough bad.,I have been experiencing severe cough.
This one got can’t walk good.,That person has difficulty walking.
My blood nose.,The child has nosebleed.
This one got sore throat.,I have been experiencing sore throat.
Lil one got skin rash.,That person has skin rash.
Them kids got drink water plenty.,The children have excessive thirst.
Them kids got blood nose.,She has nosebleed.
Old fella got heart go fast.,She has rapid heartbeat.
Me got hot all night.,She has fever.
Lil one got body weak.,I have body weakness.
She got back sore.,The child has back pain.
I bin skin itchy.,This person has itchy skin.
He got heart go fast.,The child has rapid heartbeat.
I bin shiverin’.,I have been experiencing shivering.
Lil one got body weak.,My body weakness.
Me got can’t breathe good.,The child has shortness of breath.
Them kids got skin rash.,The elderly man has skin rash.
Old fella got can’t breathe good.,This person has shortness of breath.
He got shiverin’.,He has shivering.
He got chest tight.,He has chest tightness.
Old fella got skin rash.,He has skin rash.
Them kids got back sore.,The child has back pain.
This one got chest tight.,I have been experiencing chest tightness.
He got blood nose.,That person has nosebleed.
Old fella got cough bad.,My severe cough.
That one got hungry all time.,The elderly man has increased appetite.
Me got shiverin’.,The children have shivering.
She got back sore.,That person has back pain.
I bin eyes blurry.,That person has blurred vision.
Them kids got skin itchy.,My itchy skin.
Lil one got hungry all time.,She has increased appetite.
Lil one got can’t breathe good.,The elderly man has shortness of breath.
I bin drink water plenty.,He has excessive thirst.
Old fella got can’t breathe good.,He has shortness of breath.
Them kids got belly pain.,He has abdominal pain.
My ear sore.,She has earache.
My vomit come up.,The child has vomiting.
Lil one got sore throat.,He has sore throat.
This one got skin itchy.,This person has itchy skin.
Me got body weak.,That person has body weakness.
Me got ear sore.,I have been experiencing earache.
That one got talkin’ funny.,He has slurred speech.
Me got vomit come up.,That person has vomiting.
This one got belly pain.,The elderly man has abdominal pain.
Old fella got chest tight.,This person has chest tightness.
She got heart go fast.,He has rapid heartbeat.
This one got drink water plenty.,My excessive thirst.
That one got sore throat.,My sore throat.
That one got ear sore.,She has earache.
Me got talkin’ funny.,My slurred speech.
He got back sore.,The children have back pain.
I bin chest tight.,I have been experiencing chest tightness.
Lil one got chest tight.,He has chest tightness.
Me got ear sore.,I have been experiencing earache.
This one got heart go fast.,This person has rapid heartbeat.
Me got can’t see straight.,That person has blurred vision.
Old fella got skin rash.,She has skin rash.
Old fella got sore throat.,She has sore throat.
This one got hungry all time.,That person has increased appetite.
My cryin’ lot.,I have been experiencing crying a lot.
Old fella got sore throat.,My sore throat.
He got eyes blurry.,She has blurred vision.
This one got vomit come up.,My vomiting.
That one got hot all night.,This person has fever.
I bin cough bad.,He has severe cough.
That one got hungry all time.,That person has increased appetite.
She got cough bad.,This person has severe cough.
Old fella got hot all night.,He has fever.
I bin shiverin’.,I have shivering.
That one got talkin’ funny.,I have slurred speech.
He got talkin’ funny.,The elderly man has slurred speech.
He got blood nose.,The elderly man has nosebleed.
She got eyes blurry.,The child has blurred vision.
Old fella got ear sore.,I have been experiencing earache.
This one got drink water plenty.,That person has excessive thirst.
He got head hurtin’.,He has headache.
Them kids got skin rash.,That person has skin rash.
Them kids got vomit come up.,My vomiting.
That one got body weak.,This person has body weakness.
I bin ear sore.,That person has earache.
Them kids got talkin’ funny.,The elderly man has slurred speech.
That one got belly pain.,I have abdominal pain.
Old fella got skin rash.,I have skin rash.
Old fella got shiverin’.,My shivering.
Old fella got sore throat.,I have sore throat.
I bin skin rash.,I have been experiencing skin rash.
That one got shiverin’.,My shivering.
This one got ear sore.,My earache.
Lil one got skin itchy.,This person has itchy skin.
Them kids got skin itchy.,I have itchy skin.
She got skin itchy.,That person has itchy skin.
He got eyes blurry.,She has blurred vision.
Old fella got skin rash.,My skin rash.
She got cough bad.,He has severe cough.
She got hot all night.,The elderly man has fever.
This one got talkin’ funny.,I have slurred speech.
Old fella got back sore.,The children have back pain.
I bin sore throat.,He has sore throat.
I bin body weak.,She has body weakness.
Old fella got hot all night.,The children have fever.
This one got ear sore.,I have earache.
I bin leg swell up.,My swollen leg.
Lil one got throwin’ up.,He has vomiting.
This one got can’t see straight.,He has blurred vision.
Lil one got skin itchy.,She has itchy skin.
That one got can’t breathe good.,The children have shortness of breath.
I bin cough bad.,He has severe cough.
This one got heart go fast.,The elderly man has rapid heartbeat.
Them kids got belly pain.,The elderly man has abdominal pain.
He got belly pain.,The child has abdominal pain.
She got hot all night.,I have been experiencing fever.
Me got leg swell up.,She has swollen leg.
Them kids got belly pain.,I have been experiencing abdominal pain.
Old fella got eyes blurry.,The child has blurred vision.
My back sore.,I have been experiencing back pain.
That one got ear sore.,She has earache.
This one got hot all night.,The elderly man has fever.
I bin can’t walk good.,This person has difficulty walking.
This one got can’t breathe good.,That person has shortness of breath.
Me got blood nose.,I have been experiencing nosebleed.
I bin chest tight.,The child has chest tightness.
That one got body weak.,She has body weakness.
He got hungry all time.,My increased appetite.
Old fella got skin itchy.,The children have itchy skin.
Me got blood nose.,That person has nosebleed.
My back sore.,The elderly man has back pain.
Me got chest tight.,The children have chest tightness.
Me got can’t breathe good.,He has shortness of breath.
She got talkin’ funny.,I have slurred speech.
This one got skin itchy.,The elderly man has itchy skin.
Old fella got leg swell up.,She has swollen leg.
She got ear sore.,The children have earache.
That one got cryin’ lot.,That person has crying a lot.
My leg swell up.,That person has swollen leg.
This one got hungry all time.,My increased appetite.
Me got vomit come up.,He has vomiting.
My body weak.,My body weakness.
My skin itchy.,This person has itchy skin.
Old fella got throwin’ up.,This person has vomiting.
Old fella got leg swell up.,That person has swollen leg.
That one got chest tight.,That person has chest tightness.
That one got can’t walk good.,The children have difficulty walking.
Old fella got vomit come up.,The elderly man has vomiting.
Me got body weak.,The children have body weakness.
My sore throat.,The elderly man has sore throat.
She got skin itchy.,The children have itchy skin.
That one got back sore.,The children have back pain.
I bin shiverin’.,The child has shivering.
My can’t see straight.,She has blurred vision.
I bin drink water plenty.,The child has excessive thirst.
I bin hot all night.,The child has fever.
My blood nose.,This person has nosebleed.
I bin vomit come up.,This person has vomiting.
Old fella got vomit come up.,The elderly man has vomiting.
Lil one got ear sore.,She has earache.
Me got vomit come up.,She has vomiting.
Them kids got cryin’ lot.,I have crying a lot.
He got heart go fast.,The child has rapid heartbeat.
My cough bad.,The child has severe cough.
Old fella got body weak.,The child has body weakness.
I bin throwin’ up.,That person has vomiting.
Them kids got drink water plenty.,The elderly man has excessive thirst.
Lil one got drink water plenty.,This person has excessive thirst.
He got drink water plenty.,I have been experiencing excessive thirst.
She got can’t breathe good.,This person has shortness of breath.
Old fella got eyes blurry.,My blurred vision.
Me got skin itchy.,The children have itchy skin.
This one got back sore.,I have back pain.
He got cough bad.,That person has severe cough.
My hungry all time.,I have increased appetite.
Old fella got sore throat.,I have sore throat.
My can’t see straight.,He has blurred vision.
He got heart go fast.,My rapid heartbeat.
He got shiverin’.,I have shivering.
I bin shiverin’.,The elderly man has shivering.
Them kids got skin rash.,I have skin rash.
I bin skin rash.,I have skin rash.
He got can’t breathe good.,I have been experiencing shortness of breath.
My hungry all time.,The children have increased appetite.
Them kids got eyes blurry.,This person has blurred vision.
Me got leg swell up.,That person has swollen leg.
Them kids got hot all night.,The elderly man has fever.
Lil one got can’t see straight.,I have blurred vision.
Lil one got leg swell up.,The elderly man has swollen leg.
Lil one got skin rash.,The child has skin rash.
She got back sore.,I have been experiencing back pain.
I bin drink water plenty.,The child has excessive thirst.
My can’t see straight.,I have blurred vision.
She got chest tight.,My chest tightness.
Them kids got back sore.,I have back pain.
Them kids got hungry all time.,This person has increased appetite.
Lil one got can’t see straight.,The elderly man has blurred vision.
Old fella got belly pain.,The elderly man has abdominal pain.
That one got chest tight.,I have been experiencing chest tightness.
Them kids got shiverin’.,This person has shivering.
She got cryin’ lot.,I have crying a lot.
My hungry all time.,The elderly man has increased appetite.
She got shiverin’.,This person has shivering.
I bin cough bad.,The child has severe cough.
My heart go fast.,The child has rapid heartbeat.
Old fella got eyes blurry.,I have blurred vision.
He got leg swell up.,The children have swollen leg.
He got cough bad.,The children have severe cough.
That one got hungry all time.,My increased appetite.
Me got vomit come up.,This person has vomiting.
I bin head hurtin’.,My headache.
Me got belly pain.,The elderly man has abdominal pain.
Me got talkin’ funny.,She has slurred speech.
That one got throwin’ up.,He has vomiting.
I bin throwin’ up.,I have been experiencing vomiting.
Me got can’t see straight.,I have been experiencing blurred vision.
He got hot all night.,That person has fever.
My sore throat.,I have been experiencing sore throat.
I bin can’t walk good.,My difficulty walking.
Old fella got back sore.,The children have back pain.
I bin ear sore.,The children have earache.
That one got chest tight.,He has chest tightness.
Old fella got skin rash.,I have skin rash.
Them kids got shiverin’.,This person has shivering.
Old fella got throwin’ up.,That person has vomiting.
This one got ear sore.,He has earache.
That one got back sore.,She has back pain.
Them kids got shiverin’.,The child has shivering.
I bin eyes blurry.,This person has blurred vision.
I bin back sore.,The elderly man has back pain.
Me got hungry all time.,He has increased appetite.
Me got body weak.,The child has body weakness.
My drink water plenty.,My excessive thirst.
This one got chest tight.,I have been experiencing chest tightness.
That one got can’t walk good.,The children have difficulty walking.
She got ear sore.,She has earache.
Them kids got skin rash.,I have been experiencing skin rash.
I bin ear sore.,The children have earache.
Me got belly pain.,The children have abdominal pain.
Me got skin itchy.,This person has itchy skin.
That one got ear sore.,The children have earache.
She got ear sore.,I have been experiencing earache.
Me got ear sore.,That person has earache.
He got vomit come up.,That person has vomiting.
Them kids got talkin’ funny.,The children have slurred speech.
This one got can’t see straight.,The child has blurred vision.
Old fella got talkin’ funny.,She has slurred speech.
Them kids got drink water plenty.,The child has excessive thirst.
Me got ear sore.,She has earache.
He got blood nose.,I have been experiencing nosebleed.
Old fella got heart go fast.,That person has rapid heartbeat.
Them kids got shiverin’.,The child has shivering.
Old fella got talkin’ funny.,I have been experiencing slurred speech.
My chest tight.,My chest tightness.
That one got throwin’ up.,I have vomiting.
Old fella got can’t breathe good.,The elderly man has shortness of breath.
That one got can’t walk good.,This person has difficulty walking.
Me got cough bad.,He has severe cough.
Me got skin itchy.,The child has itchy skin.
My throwin’ up.,The children have vomiting.
Lil one got skin rash.,This person has skin rash.
She got hungry all time.,He has increased appetite.
My throwin’ up.,The elderly man has vomiting.
Old fella got drink water plenty.,The child has excessive thirst.
Me got sore throat.,The children have sore throat.
This one got can’t breathe good.,I have shortness of breath.
Them kids got throwin’ up.,That person has vomiting.
This one got sore throat.,I have sore throat.
He got can’t see straight.,My blurred vision.
Me got talkin’ funny.,That person has slurred speech.
This one got vomit come up.,This person has vomiting.
I bin throwin’ up.,The elderly man has vomiting.
Lil one got skin rash.,That person has skin rash.
Them kids got drink water plenty.,The child has excessive thirst.
This one got leg swell up.,He has swollen leg.
Me got leg swell up.,This person has swollen leg.
This one got leg swell up.,She has swollen leg.
That one got chest tight.,That person has chest tightness.
Old fella got can’t breathe good.,My shortness of breath.
Lil one got skin rash.,He has skin rash.
That one got can’t walk good.,The elderly man has difficulty walking.
That one got throwin’ up.,The children have vomiting.
I bin can’t walk good.,She has difficulty walking.
My hot all night.,The elderly man has fever.
She got can’t breathe good.,This person has shortness of breath.
That one got heart go fast.,I have rapid heartbeat.
Them kids got head hurtin’.,He has headache.
Me got body weak.,The child has body weakness.
He got belly pain.,This person has abdominal pain.
Old fella got heart go fast.,My rapid heartbeat.
This one got eyes blurry.,The elderly man has blurred vision.
I bin cough bad.,I have severe cough.
She got hungry all time.,She has increased appetite.
Them kids got skin rash.,The elderly man has skin rash.
Old fella got leg swell up.,My swollen leg.
My throwin’ up.,I have vomiting.
That one got hot all night.,I have been experiencing fever.
Them kids got back sore.,She has back pain.
Them kids got hot all night.,My fever.
I bin can’t breathe good.,My shortness of breath.
That one got talkin’ funny.,My slurred speech.
I bin leg swell up.,He has swollen leg.
She got body weak.,I have been experiencing body weakness.
That one got can’t breathe good.,This person has shortness of breath.
He got head hurtin’.,I have headache.
She got can’t see straight.,My blurred vision.
Me got vomit come up.,This person has vomiting.
Me got can’t see straight.,I have blurred vision.
Them kids got hungry all time.,This person has increased appetite.
He got back sore.,My back pain.
I bin can’t walk good.,This person has difficulty walking.
He got can’t see straight.,This person has blurred vision.
He got skin rash.,She has skin rash.
This one got chest tight.,This person has chest tightness.
That one got drink water plenty.,I have been experiencing excessive thirst.
Them kids got skin itchy.,That person has itchy skin.
That one got belly pain.,I have abdominal pain.
He got heart go fast.,That person has rapid heartbeat.
Me got cough bad.,That person has severe cough.
My hungry all time.,The children have increased appetite.
Lil one got body weak.,The children have body weakness.
Them kids got belly pain.,This person has abdominal pain.
Lil one got eyes blurry.,The elderly man has blurred vision.
Lil one got talkin’ funny.,The elderly man has slurred speech.
He got eyes blurry.,I have blurred vision.
He got talkin’ funny.,I have slurred speech.
He got can’t walk good.,The elderly man has difficulty walking.
She got can’t breathe good.,The children have shortness of breath.
That one got talkin’ funny.,He has slurred speech.
Me got can’t see straight.,He has blurred vision.
Old fella got sore throat.,The child has sore throat.
I bin shiverin’.,He has shivering.
He got hungry all time.,This person has increased appetite.
This one got can’t see straight.,The elderly man has blurred vision.
My hot all night.,She has fever.
She got ear sore.,He has earache.
Them kids got can’t breathe good.,She has shortness of breath.
This one got heart go fast.,I have rapid heartbeat.
Them kids got can’t walk good.,The child has difficulty walking.
She got sore throat.,The elderly man has sore throat.
Old fella got skin rash.,I have been experiencing skin rash.
Them kids got shiverin’.,He has shivering.
He got shiverin’.,The child has shivering.
My sore throat.,This person has sore throat.
He got vomit come up.,My vomiting.
I bin throwin’ up.,The child has vomiting.
I bin head hurtin’.,I have been experiencing headache.
My drink water plenty.,I have been experiencing excessive thirst.
Lil one got shiverin’.,I have shivering.
Lil one got throwin’ up.,He has vomiting.
That one got can’t walk good.,I have difficulty walking.
This one got vomit come up.,She has vomiting.
Them kids got shiverin’.,My shivering.
Lil one got blood nose.,I have nosebleed.
Me got can’t see straight.,The child has blurred vision.
Old fella got shiverin’.,I have been experiencing shivering.
Them kids got throwin’ up.,I have been experiencing vomiting.
This one got cryin’ lot.,This person has crying a lot.
He got ear sore.,My earache.
Them kids got belly pain.,She has abdominal pain.
Lil one got body weak.,I have body weakness.
My sore throat.,The elderly man has sore throat.
Lil one got chest tight.,This person has chest tightness.
She got vomit come up.,I have vomiting.
He got heart go fast.,I have rapid heartbeat.
That one got ear sore.,That person has earache.
She got body weak.,The elderly man has body weakness.
Lil one got hungry all time.,My increased appetite.
I bin skin itchy.,The children have itchy skin.
Them kids got can’t breathe good.,My shortness of breath.
He got hungry all time.,This person has increased appetite.
He got can’t breathe good.,He has shortness of breath.
Old fella got heart go fast.,I have rapid heartbeat.
This one got chest tight.,This person has chest tightness.
Me got body weak.,The elderly man has body weakness.
Them kids got can’t breathe good.,The children have shortness of breath.
My belly pain.,I have been experiencing abdominal pain.
He got can’t breathe good.,He has shortness of breath.
Them kids got vomit come up.,The elderly man has vomiting.
This one got can’t breathe good.,He has shortness of breath.
Old fella got cryin’ lot.,The elderly man has crying a lot.
He got vomit come up.,This person has vomiting.
He got eyes blurry.,This person has blurred vision.
I bin back sore.,I have back pain.
Lil one got can’t walk good.,I have been experiencing difficulty walking.
I bin ear sore.,He has earache.
My eyes blurry.,He has blurred vision.
I bin eyes blurry.,My blurred vision.
My hungry all time.,The children have increased appetite.
Me got shiverin’.,I have shivering.
That one got leg swell up.,That person has swollen leg.
Lil one got skin itchy.,He has itchy skin.
That one got cough bad.,The elderly man has severe cough.
Lil one got chest tight.,She has chest tightness.
Old fella got back sore.,The children have back pain.
That one got can’t breathe good.,That person has shortness of breath.
He got body weak.,He has body weakness.
He got eyes blurry.,That person has blurred vision.
Them kids got cryin’ lot.,The children have crying a lot.
She got can’t walk good.,The child has difficulty walking.
Lil one got eyes blurry.,This person has blurred vision.
This one got hot all night.,I have fever.
He got shiverin’.,That person has shivering.
Old fella got body weak.,That person has body weakness.
Lil one got belly pain.,My abdominal pain.
Old fella got belly pain.,The child has abdominal pain.
Old fella got can’t breathe good.,That person has shortness of breath.
I bin skin itchy.,She has itchy skin.
My ear sore.,He has earache.
This one got skin rash.,He has skin rash.
This one got eyes blurry.,I have been experiencing blurred vision.
My leg swell up.,The elderly man has swollen leg.
That one got can’t walk good.,He has difficulty walking.
That one got back sore.,The elderly man has back pain.
That one got skin itchy.,I have been experiencing itchy skin.
Them kids got sore throat.,I have been experiencing sore throat.
She got ear sore.,The elderly man has earache.
She got drink water plenty.,The elderly man has excessive thirst.
Lil one got can’t see straight.,She has blurred vision.
I bin hungry all time.,This person has increased appetite.
Old fella got cryin’ lot.,I have been experiencing crying a lot.
Lil one got heart go fast.,She has rapid heartbeat.
He got can’t breathe good.,He has shortness of breath.
He got hot all night.,My fever.
Me got skin itchy.,She has itchy skin.
My talkin’ funny.,I have been experiencing slurred speech.
Them kids got sore throat.,The children have sore throat.
I bin can’t walk good.,He has difficulty walking.
This one got throwin’ up.,I have vomiting.
Old fella got ear sore.,The child has earache.
Lil one got can’t walk good.,The child has difficulty walking.
He got back sore.,He has back pain.
He got eyes blurry.,The child has blurred vision.
She got drink water plenty.,That person has excessive thirst.
Them kids got back sore.,My back pain.
She got shiverin’.,My shivering.
This one got can’t walk good.,He has difficulty walking.
Old fella got heart go fast.,The child has rapid heartbeat.
That one got drink water plenty.,That person has excessive thirst.
Old fella got can’t breathe good.,My shortness of breath.
I bin belly pain.,My abdominal pain.
This one got belly pain.,The child has abdominal pain.
He got chest tight.,The child has chest tightness.
Them kids got blood nose.,I have nosebleed.
My leg swell up.,My swollen leg.
He got cryin’ lot.,My crying a lot.
She got vomit come up.,He has vomiting.
Old fella got can’t walk good.,The elderly man has difficulty walking.
My belly pain.,I have abdominal pain.
Lil one got blood nose.,I have been experiencing nosebleed.
Me got hot all night.,She has fever.
My back sore.,This person has back pain.
My cryin’ lot.,I have crying a lot.
This one got heart go fast.,I have been experiencing rapid heartbeat.
I bin shiverin’.,This person has shivering.
She got eyes blurry.,The elderly man has blurred vision.
My talkin’ funny.,The children have slurred speech.
I bin cough bad.,The children have severe cough.
Lil one got chest tight.,This person has chest tightness.
Me got hungry all time.,I have been experiencing increased appetite.
Them kids got eyes blurry.,I have blurred vision.
She got belly pain.,That person has abdominal pain.
Old fella got skin rash.,The child has skin rash.
Me got talkin’ funny.,I have slurred speech.
This one got can’t walk good.,I have been experiencing difficulty walking.
That one got leg swell up.,I have swollen leg.
She got talkin’ funny.,This person has slurred speech.
He got ear sore.,The children have earache.
Me got throwin’ up.,The children have vomiting.
He got drink water plenty.,The elderly man has excessive thirst.
My ear sore.,The children have earache.
Lil one got blood nose.,That person has nosebleed.
Them kids got skin rash.,This person has skin rash.
He got belly pain.,That person has abdominal pain.
She got hot all night.,He has fever.
My eyes blurry.,This person has blurred vision.
Lil one got skin rash.,I have skin rash.
